name,price,brand,kv,i_a,v,p_w,m_kg
Turnigy D2830-11 1000kv Brushless Motor,11.26,turnigy,1000.0,21.0,15.0,210.0,0.052
MultiStar V-Spec 1808 - 2400KV Multi-Rotor Motor (CCW),16.32,multistar,2400.0,,,,0.029
PROPDRIVE v2 4248 650KV Brushless Outrunner Motor ,31.18,propdrive,650.0,70.0,19.0,1295.0,0.231
MultiStar V-Spec 1808-2400KV Racer Series (CW),10.99,multistar,2400.0,20.0,15.0,300.0,0.029
MultiStar V-Spec 1808-2400KV Racer Series (CCW),12.68,multistar,2400.0,20.0,15.0,300.0,0.029
FC 28-12 Brushless Outrunner 1534kv,7.67,,1534.0,15.5,12.0,200.0,0.039
MultiStar V-Spec 2205 - 2350KV 420w Multi-Rotor Motor (CCW),3.71,multistar,2350.0,25.0,15.0,375.0,0.03
Turnigy Aerodrive SK3 - 6374-192KV Brushless Outrunner Motor,85.85,sk3,192.0,80.0,44.0,2750.0,0.858
FC 28-22 Brushless Outrunner 1200kv,8.27,,1200.0,14.5,12.0,210.0,0.039
Turnigy D2205-2300KV 28g Brushless Motor CW,7.25,turnigy,2300.0,21.0,15.0,290.0,0.028
Turnigy Aerodrive SK3 - 5055-430KV Brushless Outrunner Motor,52.22,sk3,430.0,70.0,30.0,1750.0,0.378
PROPDRIVE v2 2836 3000KV Brushless Outrunner Motor,18.33,propdrive,3000.0,55.0,14.8,755.0,0.085
PROPDRIVE v2 3548 900KV Brushless Outrunner Motor,26.04,propdrive,900.0,55.0,17.0,815.0,0.178
Turnigy Air Brushless Motor 3730-1000kv (3s-4s 580w),15.33,turnigy,1000.0,42.0,15.0,580.0,0.112
Turnigy Aerodrive SK3 - 4240-740KV Brushless Outrunner Motor,36.14,sk3,740.0,50.0,19.0,870.0,0.195
Turnigy Aerodrive SK3 - 4250-500KV Brushless Outrunner Motor,39.26,sk3,500.0,57.0,19.0,1350.0,0.269
Turnigy Aerodrive SK3 - 5055-280KV Brushless Outrunner Motor,52.65,sk3,280.0,60.0,37.0,1510.0,0.369
Turnigy Aerodrive SK3 - 6374-149KV Brushless Outrunner Motor,85.81,sk3,149.0,70.0,44.0,2250.0,0.84
Turnigy TrackStar 13.5T Sensored Brushless Motor 3040KV (ROAR approved),35.00,trackstar,3040.0,36.0,8.0,255.0,0.178
Turnigy L3010B-1300 Brushless Motor (420w),17.29,turnigy,1300.0,40.1,11.0,420.0,0.088
Turnigy L2210A-1650 Brushless Motor (180w),11.73,turnigy,1650.0,17.5,11.0,180.0,0.049
Turnigy Aerodrive SK3 - 2836-1040kv Brushless Outrunner Motor,24.88,sk3,1040.0,28.0,11.0,335.0,0.08
Turnigy G46 Brushless Outrunner 670kv (.46 Glow),56.63,turnigy,670.0,40.0,19.0,741.0,0.303
Turnigy Aerodrive SK3 - 3548-840kv Brushless Outrunner Motor,39.68,sk3,840.0,50.0,15.0,750.0,0.174
